Symbol,Name,Last,IV/HV,"Imp Vol","Long Term","Short Term","Med Term","Last Mth Signal","Last Wk Signal","Prev Signal",Signal
ZLQ07,"Soybean Oil",35.95,0,0.00%,Buy,Sell,Sell,Buy,Buy,Sell,Sell
ZLN07,"Soybean Oil",37.72,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK07,"Soybean Oil",34.44,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH07,"Soybean Oil",29.85,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLF07,"Soybean Oil",28.8,0,0.00%,Buy,Buy,Buy,Buy,Buy,Sell,Buy
ZLZ06,"Soybean Oil",28.26,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLV06,"Soybean Oil",24.82,0,0.00%,Sell,Buy,Buy,Sell,Sell,Sell,Buy
ZLU06,"Soybean Oil",24.54,0,0.00%,Hold,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ06,"Soybean Oil",24.95,0,0.00%,Hold,Sell,Sell,Buy,Buy,Sell,Sell
ZLN06,"Soybean Oil",27.37,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLK06,"Soybean Oil",26,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLH06,"Soybean Oil",23.31,0,0.00%,Buy,Sell,Buy,Hold,Buy,Buy,Buy
ZLF06,"Soybean Oil",21.26,0,0.00%,Sell,Sell,Sell,Sell,Buy,Sell,Sell
ZLZ05,"Soybean Oil",20.91,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV05,"Soybean Oil",23.45,0,0.00%,Sell,Hold,Buy,Sell,Buy,Buy,Hold
ZLU05,"Soybean Oil",22.07,0,0.00%,Sell,Sell,Sell,Sell,Hold,Sell,Sell
ZLQ05,"Soybean Oil",22.8,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLN05,"Soybean Oil",25.7,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK05,"Soybean Oil",21.98,0,0.00%,Buy,Sell,Sell,Buy,Buy,Hold,Sell
ZLH05,"Soybean Oil",23.95,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLF05,"Soybean Oil",19.67,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ04,"Soybean Oil",20.18,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV04,"Soybean Oil",20.2,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU04,"Soybean Oil",23.2,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ04,"Soybean Oil",23.57,0,0.00%,Sell,Buy,Sell,Sell,Sell,Sell,Sell
ZLN04,"Soybean Oil",26.45,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK04,"Soybean Oil",30.68,0,0.00%,Sell,Sell,Sell,Buy,Buy,Sell,Sell
ZLH04,"Soybean Oil",33.05,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLF04,"Soybean Oil",30.3,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLZ03,"Soybean Oil",28.87,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLV03,"Soybean Oil",27.16,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLU03,"Soybean Oil",22.23,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLQ03,"Soybean Oil",19.5,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN03,"Soybean Oil",21.5,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLK03,"Soybean Oil",22.88,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH03,"Soybean Oil",20.85,0,0.00%,Sell,Buy,Buy,Sell,Sell,Buy,Buy
ZLF03,"Soybean Oil",20.23,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
